TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,LOGICAL_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,KEY_POSITION,DESCRIPTION
meeting_reservation_sys,meeting_reservation_sys,interviewers,interviewer_id,,1,,NO,int auto_increment,1,
meeting_reservation_sys,meeting_reservation_sys,interviewers,name,,2,,NO,varchar(30),,
meeting_reservation_sys,meeting_reservation_sys,interviewers,kana,,3,,NO,varchar(50),,
meeting_reservation_sys,meeting_reservation_sys,interviewers,email,,4,,NO,varchar(25),,
meeting_reservation_sys,meeting_reservation_sys,interviewers,pass,,5,,NO,varchar(70),,
meeting_reservation_sys,meeting_reservation_sys,interviewers,manager_id,,6,,NO,int,,
meeting_reservation_sys,meeting_reservation_sys,interviewers,created_at,,7,CURRENT_TIMESTAMP,YES,datetime,,
meeting_reservation_sys,meeting_reservation_sys,interviewers,updated_at,,8,CURRENT_TIMESTAMP,YES,datetime,,
meeting_reservation_sys,meeting_reservation_sys,managers,manager_id,,1,,NO,int auto_increment,1,
meeting_reservation_sys,meeting_reservation_sys,managers,name,,2,,NO,varchar(30),,
meeting_reservation_sys,meeting_reservation_sys,managers,kana,,3,,NO,varchar(50),,
meeting_reservation_sys,meeting_reservation_sys,managers,email,,4,,NO,varchar(25),,
meeting_reservation_sys,meeting_reservation_sys,managers,pass,,5,,NO,varchar(70),,
meeting_reservation_sys,meeting_reservation_sys,managers,created_at,,6,CURRENT_TIMESTAMP,YES,datetime,,
meeting_reservation_sys,meeting_reservation_sys,managers,updated_at,,7,CURRENT_TIMESTAMP,YES,datetime,,
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,past_id,,1,,NO,int auto_increment,1,
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,date,,2,,NO,datetime,,
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,time_id,,3,,NO,int,,
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,user_id,,4,,NO,int,,
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,interviewer_id,,5,,NO,int,,
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,created_at,,6,CURRENT_TIMESTAMP,YES,datetime,,
meeting_reservation_sys,meeting_reservation_sys,reservation_pasts,updated_at,,7,CURRENT_TIMESTAMP,YES,datetime,,
meeting_reservation_sys,meeting_reservation_sys,reservations,reservation_id,,1,,NO,int auto_increment,1,
meeting_reservation_sys,meeting_reservation_sys,reservations,url,,2,,NO,varchar(300),,
meeting_reservation_sys,meeting_reservation_sys,reservations,date,,3,,NO,datetime,,
meeting_reservation_sys,meeting_reservation_sys,reservations,time_id,,4,,NO,int,,
meeting_reservation_sys,meeting_reservation_sys,reservations,user_id,,5,,NO,int,,
meeting_reservation_sys,meeting_reservation_sys,reservations,interviewer_id,,6,,NO,int,,
meeting_reservation_sys,meeting_reservation_sys,reservations,created_at,,7,CURRENT_TIMESTAMP,YES,datetime,,
meeting_reservation_sys,meeting_reservation_sys,reservations,updated_at,,8,CURRENT_TIMESTAMP,YES,datetime,,
meeting_reservation_sys,meeting_reservation_sys,times,time_id,,1,,NO,int auto_increment,1,
meeting_reservation_sys,meeting_reservation_sys,times,start,,2,,NO,int,,
meeting_reservation_sys,meeting_reservation_sys,times,created_at,,3,CURRENT_TIMESTAMP,YES,datetime,,
meeting_reservation_sys,meeting_reservation_sys,times,updated_at,,4,CURRENT_TIMESTAMP,YES,datetime,,
meeting_reservation_sys,meeting_reservation_sys,users,user_id,,1,,NO,int auto_increment,1,
meeting_reservation_sys,meeting_reservation_sys,users,name,,2,,NO,varchar(30),,
meeting_reservation_sys,meeting_reservation_sys,users,kana,,3,,NO,varchar(50),,
meeting_reservation_sys,meeting_reservation_sys,users,email,,4,,NO,varchar(25),,
meeting_reservation_sys,meeting_reservation_sys,users,pass,,5,,NO,varchar(70),,
meeting_reservation_sys,meeting_reservation_sys,users,created_at,,6,CURRENT_TIMESTAMP,YES,datetime,,
meeting_reservation_sys,meeting_reservation_sys,users,updated_at,,7,CURRENT_TIMESTAMP,YES,datetime,,
